date,barge_tonnes,rail_tonnes,road_tonnes,kaub_w_min_cm,kaub_days_below80_pct,total_demand_tonnes
2020-05-01,6205514,3702294,2810000,115.0,0.0,12717808
2020-06-01,6013595,3737807,3004000,99.0,0.0,12755402
2020-07-01,6166482,4044723,3032000,112.0,0.0,13243205
2020-08-01,5836499,3644325,2876000,84.0,0.0,12356824
2020-09-01,6127618,4360788,3517000,76.0,3.1,14005406
2020-10-01,7452528,4872566,3600000,122.0,0.0,15925094
2020-11-01,6833129,4796160,3605000,87.0,0.0,15234289
2020-12-01,6831239,4360918,2751000,85.0,0.0,13943157
2021-01-01,7304130,4686009,2699000,107.0,0.0,14689139
2021-02-01,6230563,4141546,2895000,213.0,0.0,13267109
2021-03-01,8090929,5598311,3828000,163.0,0.0,17517240
2021-04-01,7017544,4888331,3850000,94.0,0.0,15755875
2021-05-01,7789832,4906682,3222000,110.0,0.0,15918514
2021-06-01,7341684,4997922,3504000,205.0,0.0,15843606
2021-07-01,7036739,4764404,3139000,314.0,0.0,14940143
2021-08-01,6788323,4436208,2815000,204.0,0.0,14039531
2021-09-01,7025039,4809147,3374000,125.0,0.0,15208186
2021-10-01,7685773,4827061,3154000,74.0,8.5,15666834
2021-11-01,7637441,4667953,3145000,67.0,36.8,15450394
2021-12-01,8265098,4737766,2658000,76.0,0.8,15660864
2022-01-01,8485632,4793266,2893000,142.0,0.0,16171898
2022-02-01,7252296,4795906,3014000,144.0,0.0,15062202
2022-03-01,7602916,5314144,3401000,93.0,0.0,16318060
2022-04-01,7727330,4578561,3077000,98.0,0.0,15382891
2022-05-01,7494796,4993253,3150000,138.0,0.0,15638049
2022-06-01,6878320,4458224,3239000,117.0,0.0,14575544
2022-07-01,6338492,4775727,2902000,65.0,48.4,14016219
2022-08-01,5588464,4835547,2627000,30.0,67.3,13051011
2022-09-01,6588151,4622080,2994000,66.0,21.5,14204231
2022-10-01,7297611,4578044,3261000,117.0,0.0,15136655
2022-11-01,6967322,4891154,3263000,112.0,0.0,15121476
2022-12-01,6665496,4111763,2291000,91.0,0.0,13068259
2023-01-01,7655400,4542656,2735000,147.0,0.0,14933056
2023-02-01,6577454,4278768,1785000,115.0,0.0,12641222
